Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
381     1       3477.10      1738.55    1        3476.70      1738.35
382     1       3485.90      1742.95    1        3485.50      1742.75
383     1       3494.70      1747.35    1        3494.30      1747.15
384     1       3503.50      1751.75    1        3503.10      1751.55
385     1       3512.30      1756.15    1        3511.90      1755.95
386     1       3521.10      1760.55    1        3520.70      1760.35
387     1       3529.90      1764.95    1        3529.50      1764.75
388     1       3538.70      1769.35    1        3538.30      1769.15
389     1       3547.50      1773.75    1        3547.10      1773.55
390     1       3556.30      1778.15    1        3555.90      1777.95
391     1       3565.20      1782.60    1        3564.80      1782.40
392     1       3574.00      1787.00    1        3573.60      1786.80
393     1       3582.80      1791.40    1        3582.40      1791.20
394     1       3591.50      1795.75    1        3591.10      1795.55
395     1       3600.30      1800.15    1        3599.90      1799.95
396     1       3609.10      1804.55    1        3608.70      1804.35
397     1       3617.90      1808.95    1        3617.50      1808.75
398     1       3626.70      1813.35    1        3626.30      1813.15
399     1       3635.50      1817.75    1        3635.10      1817.55
400     1       3644.30      1822.15    1        3643.90      1821.95
401     1       3653.10      1826.55    1        3652.70      1826.35
402     1       3661.80      1830.90    1        3661.40      1830.70
403     1       3670.60      1835.30    1        3670.20      1835.10
404     1       3679.40      1839.70    1        3679.00      1839.50
405     1       3688.20      1844.10    1        3687.80      1843.90
406     1       3699.00      1849.50    1        3698.60      1849.30
407     1       3707.90      1853.95    1        3707.50      1853.75
408     1       3716.80      1858.40    1        3716.40      1858.20
409     1       3725.55      1862.78    1        3725.15      1862.58
410     1       3734.30      1867.15    1        3733.90      1866.95
411     1       3743.05      1871.53    1        3742.65      1871.33
412     1       3751.80      1875.90    1        3751.40      1875.70
413     1       3760.55      1880.28    1        3760.15      1880.08
414     1       3769.30      1884.65    1        3769.15      1884.58
415     1       3778.05      1889.03    1        3777.90      1888.95
416     1       3786.80      1893.40    1        3786.65      1893.33
417     1       3795.55      1897.78    1        3795.40      1897.70
418     1       3804.55      1902.28    1        3804.40      1902.20
419     1       3813.35      1906.68    1        3813.20      1906.60
420     1       3822.15      1911.08    1        3822.00      1911.00
421     1       3831.05      1915.53    1        3830.90      1915.45
422     1       3839.95      1919.98    1        3839.80      1919.90
423     1       3848.75      1924.38    1        3848.60      1924.30
424     1       3857.55      1928.78    1        3857.50      1928.75
425     1       3866.35      1933.18    1        3866.30      1933.15
426     1       3875.15      1937.58    1        3875.10      1937.55
427     1       3883.95      1941.98    1        3884.10      1942.05
428     1       3892.75      1946.38    1        3892.90      1946.45
429     1       3901.55      1950.78    1        3901.70      1950.85
430     1       3910.35      1955.18    1        3910.50      1955.25
431     1       3919.25      1959.63    1        3919.40      1959.70
432     1       3928.25      1964.13    1        3928.70      1964.35
